Indicator,Category,BASE,ST Elevé,ST Faible,Très élevé,Assez élevé,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.16907754839352787,0.4395711859604663,0.05803087,0.11104670999999999,0.37152655,0.35606494,0.08350608,0.01982373,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Gender,Man,2929.637,0.1549999,0.44007158566061255,0.054999900000000004,0.10021979,0.38794832999999995,0.38222516999999995,0.05784662,0.01676019,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Gender,Woman,3049.36,0.18201215992864073,0.4390918094288638,0.0605632,0.12144882999999998,0.35612882999999995,0.33093305,0.10815827,0.02276702,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Age,18-24,478.2759,0.23082346402986229,0.4141645021210561,0.08837782,0.14244556,0.325,0.30019977999999997,0.11221239,0.03176445,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Age,25-34,836.9062,0.20724114602090413,0.437030816595695,0.08240824000000001,0.125,0.3444209399999999,0.33938654,0.09764430000000002,0.01113998,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Age,35-49,1494.556,0.19294031137006576,0.39491032788333125,0.05385648,0.13908392,0.38619951,0.29415913,0.10075133,0.02594926,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Age,50-64,1554.412,0.155,0.4788223456844131,0.05776139000000001,0.09713583,0.3519711,0.39788241,0.08093974,0.014310799999999999,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Age,65+,1614.848,0.12257667594720989,0.451965571991915,0.04053209,0.08204456,0.40503354,0.39777905,0.0541867,0.02042502,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Socio-Professional Category,Total-CSP+,1734.019,0.18648526919255212,0.42116187884907835,0.06644575,0.12003946,0.3795874500000001,0.34575567,0.07499990000000001,0.01317177,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Socio-Professional Category,Small Business owners,212.9949,0.21270776905925917,0.4482657565979279,0.040892099999999994,0.17181571,0.28924458,0.34263187,0.10563389,0.04978208,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.218908170069141,0.4027722287454129,0.08398823,0.135,0.3632394599999999,0.33060775,0.07216456,0.015,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Socio-Professional Category,Prof Intermed,896.9079,0.15948683248302303,0.42103241592587154,0.06109253,0.09839432,0.41602510000000004,0.35554866000000007,0.0649999,0.00393949,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Socio-Professional Category,Total-CSP-,1674.09,0.17776176908051539,0.4500112897156067,0.06274549,0.11501634,0.34734208000000005,0.34594837,0.10406292,0.02488437,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
Socio-Professional Category,Salaried,956.6466,0.16208650090848598,0.44401464448836175,0.04793982,0.11414665,0.36752119,0.3342068,0.10980795,0.02637712,"q14v13b_i5. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ferme de panneaux solaires"
