Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,No rep.,Moyenne,Question
Socio-Professional Category,Blue collar,717.4432,0.6649999,0.17533987359556827,0.065,0.06405626,0.05752581,0.08862241999999998,0.12329614,0.13331988,0.20330319999999996,0.07596434,0.06629365,0.03308189,0.015786,0.04721649,0.0915341,4.3515,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,Far left,187.3446,0.4713835893855494,0.375,0.1149999,0.030860759999999997,0.05369058,0.08615893,0.099808,0.1041223,0.09674311,0.145,0.15552621000000005,0.06935412,0.0424445,0.07348763,0.04280386,5.282235,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,Radical left,828.7407,0.625,0.28408560120192,0.04182477100497176,0.054999900000000004,0.04655093,0.08637352,0.14520718,0.10652713999999999,0.18393299000000013,0.11809899,0.10308019,0.0629064,0.02416675,0.01765801,0.050498,4.55796,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,Left,1430.296,0.6772251338184543,0.24165298651467945,0.026525935890193357,0.04934583,0.03360977,0.08731102,0.14565901,0.13978505,0.22151408,0.09816807,0.09426601,0.0492188,0.01568672,0.01083921,0.05459702999999999,4.446898,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,PC/LFI,641.3963,0.6680503146026879,0.25902581602045416,0.020178819241707505,0.062151059999999994,0.04446549999999999,0.08643615,0.15846771,0.10722954,0.20930055,0.11027182,0.08773078,0.06102305,0.01882802,0.0013508,0.05274535,4.344187,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,PS,449.3176,0.6572346598486237,0.24340310728981016,0.045000000000000005,0.021412320000000002,0.01850076,0.09326269,0.11826601,0.15902667,0.2467971500000002,0.09146547999999999,0.0977854,0.05415227,0.0181257,0.02620565,0.054999900000000004,4.784769,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,EELV,339.583,0.7210010512893754,0.2049999,0.015,0.0621196,0.03309706,0.08108819,0.1577111,0.1758154,0.21116985,0.08417515,0.10195272,0.02039536,0.00652635,0.00842861,0.057520249999999995,4.193645,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,EM,672.9198,0.5465404644060109,0.34500441211567856,0.054875885655318805,0.00889022,0.015,0.03566001,0.08360966999999998,0.14248683,0.26056401000000007,0.13352037,0.135,0.07681401,0.02044377,0.0344321,0.05357901,5.388453,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,MoDem,161.1257,0.645,0.28155136021131333,0.024577407576817357,0.01066725,0.03060264,0.09899327,0.125,0.15927006,0.21918556999999989,0.14427823,0.08645275,0.05082043,0.02100228,0.00357512,0.05015239999999999,4.673244,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,Right,573.0042,0.7035376005969939,0.22728419791687393,0.01648029805017136,0.022595859999999995,0.04942817,0.09435711,0.17239404000000005,0.14976199,0.215,0.108855,0.07237455,0.04605469,0.01108397,0.00539633,0.052698289999999995,4.338791,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,UDI/PR,89.32552,0.6390432431851503,0.27869101685610115,0.010622286889569744,0.0,0.00731079,0.03137353,0.16198193,0.25729222,0.18020606,0.12291940999999999,0.075,0.08165017,0.01062229,0.0,0.0716436,4.841767,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
