Indicator,Category,BASE,... s'ouvrir davantage au monde d'aujourd'hui,... ou se protéger davantage du monde d'aujourd'hui,"... ni l'un, ni l'autre",No rep.,Question
1st round vote,Dupont-Aignan,88.56025,0.04821257,0.74910754,0.1949999,0.00767999,q28. Estimez-vous que la France doit... ?
1st round vote,Zemmour,303.4525,0.055,0.78784047,0.15382829,0.0033312399999999996,q28. Estimez-vous que la France doit... ?
1st round vote,Le Pen,993.0248,0.06477235,0.73671101,0.19080057,0.00771605,q28. Estimez-vous que la France doit... ?
1st round vote,Lassalle,134.5409,0.14499990000000001,0.4704414400000001,0.36724141,0.01731725,q28. Estimez-vous que la France doit... ?
1st round vote,Blank/Null/NA,96.61228,0.1871112,0.38499989999999995,0.3770126700000001,0.05087623,q28. Estimez-vous que la France doit... ?
1st round vote,Blank,63.86856,0.20016844,0.40463399000000005,0.36691511,0.02828219,q28. Estimez-vous que la France doit... ?
1st round vote,Null,19.09123,0.10175582999999999,0.40981545,0.42267764,0.06575139,q28. Estimez-vous que la France doit... ?
2nd round vote,Macron,2287.563,0.37927919,0.2649999,0.34722694,0.00849397,q28. Estimez-vous que la France doit... ?
2nd round vote,Le Pen,1619.66,0.07158311,0.71472037,0.20616802,0.00752811,q28. Estimez-vous que la France doit... ?
2nd round vote,Blank/Null/NA,370.4173,0.205,0.40040565999999994,0.36315717,0.03143717,q28. Estimez-vous que la France doit... ?
