Indicator,Category,BASE,ST Elevé,ST Faible,Très élevé,Assez élevé,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.5947258422057728,0.155,0.33204744999999997,0.26249013,0.23055403,0.075,0.07870713,0.02120126,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Gender,Man,2929.637,0.5590941812927677,0.14784377723246941,0.2983402700000001,0.26065431,0.27405986,0.085,0.06294159,0.01900397,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Gender,Woman,3049.36,0.6289601752498885,0.1589699805860902,0.365,0.2639606500000001,0.18875708,0.06511612,0.09385383,0.02331232,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Age,18-24,478.2759,0.575,0.19944527834247974,0.27694789,0.29651275,0.21281419000000001,0.08904067999999998,0.11040462,0.01427995,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Age,25-34,836.9062,0.5882929293629322,0.17470619765990503,0.33329308999999996,0.255,0.21695777,0.06212828,0.11257786999999998,0.02004299,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Age,35-49,1494.556,0.655,0.15284425608675753,0.36524406,0.28860598,0.17069135999999996,0.07201303,0.0808313,0.022613589999999996,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Age,50-64,1554.412,0.6149998999999999,0.135,0.3640526800000001,0.2549999,0.22615856999999998,0.05869499,0.07606793,0.02002593,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Age,65+,1614.848,0.5262229633996512,0.14761197338696894,0.28727775,0.23894515,0.30249027,0.09527194,0.05234014,0.02367575,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Socio-Professional Category,Total-CSP+,1734.019,0.6113894945787791,0.15118721305821908,0.34367443,0.26771494,0.22702762,0.07339043,0.07779678,0.01039583,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
Socio-Professional Category,Small Business owners,212.9949,0.5764508915471684,0.196293761024325,0.25640774,0.32004315999999994,0.22456289,0.07505419,0.12123957,0.00269261,"q14v13b_i2. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une centrale nucléaire"
