Indicator,Category,BASE,Emmanuel Macron,Marine Le Pen,Blanc/Nul/ABS/NSP,J'ai voté blanc,J'ai voté nul,NSP,Question
Politics,Very Right,382.4714,0.05042055000000001,0.93741702,0.012162370833479314,0.009123,0.00222321,0.00081615,q15bv13b. Avez-vous voté :
Politics,Both left and Right,151.9954,0.51982988,0.40969773,0.07047259324953256,0.06821805,0.00225457,0,q15bv13b. Avez-vous voté :
Politics,Neither left nor right,946.4611,0.42122248999999995,0.49178784999999997,0.08586700499365478,0.06851498,0.015,0.00347468,q15bv13b. Avez-vous voté :
Loss of job risk,High risk,377.413,0.39703905,0.5074237,0.0949999,0.07234314,0.01897062,0.00422292,q15bv13b. Avez-vous voté :
Loss of job risk,Low risk,1229.537,0.48286182,0.43051189,0.08637438320278283,0.06876897,0.015,0.00285732,q15bv13b. Avez-vous voté :
Loss of job risk,Zero risk,2633.533,0.58014006,0.33656673,0.08329354521093907,0.07163225,0.00957055,0.00209071,q15bv13b. Avez-vous voté :
1st round vote,Arthaud,20.06679,0.39267083,0.41766431,0.18966456518456615,0.15776046,0.0319041,0,q15bv13b. Avez-vous voté :
1st round vote,Poutou,20.933,0.26261888,0.37055936000000006,0.3668219079921655,0.29032384,0.07649811,0,q15bv13b. Avez-vous voté :
1st round vote,Roussel,77.79436,0.67140745,0.115,0.21359260491377524,0.17072496999999998,0.04286758,0,q15bv13b. Avez-vous voté :
1st round vote,Melenchon,718.1088,0.5823424,0.21805261,0.1996047117094234,0.17153557,0.02619489,0.0018743200000000003,q15bv13b. Avez-vous voté :
1st round vote,Hidalgo,67.90237,0.70719457,0.12722546,0.1649999,0.1477564,0.01282367,0.0049999,q15bv13b. Avez-vous voté :
1st round vote,Jadot,183.7992,0.7754310100000001,0.09493680999999998,0.12963201145598022,0.11090347999999998,0.018728559999999998,0,q15bv13b. Avez-vous voté :
1st round vote,Macron,1178.689,0.98836928,0.0079315,0.0036986991479516645,0.0021566,0,0.0015420999999999998,q15bv13b. Avez-vous voté :
1st round vote,Pecresse,186.928,0.65760079,0.19558413,0.14499990000000001,0.13353591,0.01327927,0,q15bv13b. Avez-vous voté :
1st round vote,Dupont-Aignan,80.0713,0.19176221999999998,0.69135333,0.1168844767101321,0.08063216,0.03625232,0,q15bv13b. Avez-vous voté :
1st round vote,Zemmour,279.6626,0.10792383,0.84664807,0.0449999,0.04304705,0.00238084,0,q15bv13b. Avez-vous voté :
1st round vote,Le Pen,965.4321,0.04253809000000001,0.945,0.012461901774345394,0.01024409,0.0013411700000000003,0.00087665,q15bv13b. Avez-vous voté :
1st round vote,Lassalle,119.3451,0.45692953,0.33120597,0.21186433293030046,0.18790398999999997,0.02396025,0,q15bv13b. Avez-vous voté :
1st round vote,Blank/Null/NA,83.97643,0.32139054,0.11920333,0.5594058952017846,0.40877327,0.08082806,0.06980443,q15bv13b. Avez-vous voté :
1st round vote,Blank,58.94613,0.3336996,0.11394879,0.555,0.5120245399999999,0.035,0.00532707,q15bv13b. Avez-vous voté :
1st round vote,Null,12.83356,0.22923226,0.110532,0.6602354296079965,0.28730789,0.37292762,0,q15bv13b. Avez-vous voté :
2nd round vote,Macron,2287.563,1,0,0,0,0,0,q15bv13b. Avez-vous voté :
2nd round vote,Le Pen,1619.66,0,1,0,0,0,0,q15bv13b. Avez-vous voté :
2nd round vote,Blank/Null/NA,370.4173,0,0,1,0.82837735,0.13784156,0.03378149,q15bv13b. Avez-vous voté :
