Indicator,Category,BASE,ST Extreme gauche,ST Gauche,ST Centre,ST Droite,ST Extrème droite,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,NSP,Question
Socio-Professional Category,Blue collar,717.4432,0.049012339931579246,0.16237355096542833,0.16035123059219183,0.2500190955883337,0.12524690456331594,0.01938392,0.02962842,0.07661999,0.0449999,0.04044814,0.16035123000000004,0.08082814,0.06382865,0.10536233000000002,0.0386462,0.08660071999999999,0.25330236000000006,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,Far left,187.3446,0.2442038361393923,0.2139236999625289,0.09723445458262472,0.3055836143662534,0.05151395343127051,0.1142966,0.12990724,0.13239752,0.04797603,0.03355017,0.09723445,0.065,0.10811916,0.13246401000000016,0.02243663,0.029077319999999997,0.08754087,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,Radical left,828.7407,0.245,0.4395716295820877,0.07203829858965537,0.1749999,0.02705368518765882,0.09772089000000002,0.145,0.22698490000000004,0.15804364,0.05392815,0.0720383,0.06143966,0.06101822,0.05412718,0.01612179,0.0109319,0.04264537,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,Left,1430.296,0.13806680575209607,0.5828727759848311,0.09993693613070302,0.11868864906285131,0.017643760452381883,0.04704123999999999,0.09102563,0.22311200000000012,0.235,0.12441634000000001,0.09993694,0.05029774,0.037154,0.031236900000000005,0.012987280000000002,0.005,0.04279192999999999,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,PC/LFI,641.3963,0.24149390945972093,0.5054804650416599,0.0646787797185609,0.1389060086564266,0.01990911079468341,0.09287929,0.14861467,0.25540715,0.19019318,0.05988030999999999,0.06467878,0.060602979999999994,0.04726053,0.03104248,0.01427728,0.00563183,0.02953188,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,PS,449.3176,0.055,0.7349998999999999,0.08117118047456855,0.0818556628985822,0.025,0.005,0.04993486,0.23382035,0.3110187399999999,0.19041052,0.08117118,0.02401148,0.03268379,0.02516038,0.01881537,0.005,0.02297333,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,EELV,339.583,0.055,0.5262781116840359,0.19136134612156672,0.12923762379153253,0.0049999,0.01627496,0.03662159,0.15157531,0.21571257,0.15899047,0.19136134999999999,0.06561383,0.023979620000000004,0.03964421,0.00283932,0.0033265,0.09405998,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,EM,672.9198,0.0023520366022815793,0.185,0.21523114641596222,0.5134247795948343,0.0349999,0.0008394099999999999,0.00151262,0.00512303,0.04793329,0.12934636,0.21523115,0.23341454,0.18118103,0.09883728,0.02497393,0.0149999,0.04660746,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,MoDem,161.1257,0,0.12927447328390196,0.43264364406174805,0.345,0.0149999,0.0,0.0,0.0,0.02852669,0.10074780000000001,0.43264364,0.20061573,0.09761615,0.045009850000000004,0.0008819500000000002,0.0147367,0.07922138,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,Right,573.0042,0.015,0.035104000982889835,0.05246153518595501,0.7635650838161396,0.11046138928824606,0.0,0.015,0.00717651,0.0151435,0.01278399,0.05246154,0.1335918,0.3298959600000002,0.29959187,0.08920130000000001,0.02126009,0.02389344,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,UDI/PR,89.32552,0,0.055,0.16290506901051346,0.7619467538504114,0.02095711281613586,0.0,0.0,0.0,0.005,0.04701487,0.16290507,0.41762683000000006,0.27167869,0.07259307,0.01446055,0.00649656,0.00222436,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,LR,397.5368,0.020921371304493067,0.03005746889344584,0.015,0.825,0.10499990000000001,0.0,0.02092137,0.01034413,0.01852826,0.00118509,0.015,0.08370448,0.385,0.35612334000000007,0.09365631,0.01368622,0.0018507999999999999,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,Radical right,1008.8,0.00846694587628866,0.027551823949246632,0.09181738699444886,0.3338739095955591,0.4221220261697066,0.00231647,0.00615048,0.01435921,0.005,0.00881211,0.09181739,0.04317399,0.07792887,0.21277111,0.18091257,0.2405893800000003,0.11616841999999998,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,Debout la France,86.14185,0,0.04090724775472085,0.11115368430095245,0.482183863011997,0.21766690638754563,0.0,0.0,0.0,0.010091399999999999,0.030815860000000004,0.11115368,0.06923477,0.14499990000000001,0.26794935999999986,0.14614488,0.07152197,0.14808818,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,Reconquete,205.4045,0,0.003968453466209358,0.036252136637707544,0.4645501437407651,0.4663685557035021,0.0,0.0,0.00396845,0.0,0.0,0.03625214,0.02492528,0.07914164,0.36048334,0.24081064,0.22555785999999997,0.02886078,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
