Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Total,Total,5979.002,0.13929338040027417,0.789880150566934,0.025,0.11431075,0.34859346,0.4412691899999999,0.056723960000000004,0.01410264,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Gender,Man,2929.637,0.135,0.7949999,0.025,0.11025438,0.36413317,0.4308442900000001,0.05716012,0.01260804,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Gender,Woman,3049.36,0.145,0.7843422882178556,0.025606149999999998,0.11820812,0.33366476999999994,0.45121603,0.05630503,0.0149999,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Age,18-24,478.2759,0.22057540428024913,0.7073410974711458,0.05372934,0.16684608,0.29690791,0.41043339000000006,0.05977523,0.0123083,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Age,25-34,836.9062,0.2284308564089978,0.6828808294167256,0.06698881,0.16144199,0.33104343,0.35183752,0.06600178,0.022686210000000002,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Age,35-49,1494.556,0.1349999,0.7965435888651881,0.01196755,0.12362769,0.34666603,0.44949191,0.055,0.01324682,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Age,50-64,1554.412,0.105,0.8447953309675942,0.025,0.07919741,0.32242153,0.52030196,0.04242409,0.010655010000000001,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Age,65+,1614.848,0.1082230030318643,0.8107518478519341,0.0087213,0.09950175,0.39997554,0.41077686999999996,0.06672925,0.014296290000000001,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Socio-Professional Category,Total-CSP+,1734.019,0.17146346147302885,0.7640758261587676,0.03384495,0.13761845,0.36204061,0.40203590999999994,0.05583628,0.00862409,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
Socio-Professional Category,Small Business owners,212.9949,0.15476572443753348,0.765,0.03011763,0.1246481,0.40740652,0.35623083,0.0691656,0.01243166,"q8v13b_i3. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de pouvoir d'achat"
