Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Political similarity,Right,573.0042,0.6562641251146153,0.2449999,0.08781733,0.56844679,0.18229692,0.0633358,0.09244569000000001,0.0056576,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Political similarity,UDI/PR,89.32552,0.8806638909015028,0.07535812833779194,0.14306359,0.73760041,0.0662186,0.00913953,0.043978029999999994,0,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Political similarity,LR,397.5368,0.6602254181248126,0.22972117298323072,0.08472131,0.57550395,0.17348451999999998,0.05623666,0.10189922,0.00815478,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Political similarity,Radical right,1008.8,0.34180333068992863,0.5274878072957969,0.0249999,0.3168031000000001,0.31096739,0.21652011999999998,0.11960299,0.0111065,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Political similarity,Debout la France,86.14185,0.40529150465192004,0.4949999,0.045,0.36029157,0.34333405,0.15229694,0.09907743999999999,0,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Political similarity,Reconquete,205.4045,0.3985582107500079,0.45281617491340254,0.00725231,0.39130584,0.28144744,0.17136884,0.14076882,0.00785691,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Political similarity,RN,717.2537,0.3179250242975394,0.5526977413988942,0.028659899999999995,0.28979898000000004,0.3149999,0.2371635,0.11600672,0.013371,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Political similarity,No preference,1860.95,0.4062688411832666,0.3943313361455171,0.03661486,0.36965399,0.24231531999999997,0.15201644,0.14688423,0.05251623,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Politics,Total-left,1649.278,0.5232584803774742,0.355,0.06963253,0.45307030000000004,0.23577899,0.115,0.11233867,0.01417951,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Politics,Very Left,217.9165,0.3165746512999245,0.4935188478155624,0.07728222,0.23929239,0.29102422,0.20249463000000004,0.18567424,0.00423279,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Politics,Left,1431.362,0.555,0.3284073490842987,0.06846791,0.48695113000000007,0.22736812999999997,0.10103921999999999,0.10117371,0.0149999,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
