Indicator,Category,BASE,ST Elevé,ST Faible,Très élevé,Assez élevé,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Political similarity,EELV,339.583,0.27416054396127015,0.3102508076081547,0.0649999,0.20814007,0.4071530000000001,0.25995559,0.050295160000000005,0.00945628,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,EM,672.9198,0.325,0.3049999,0.095,0.22645446999999996,0.3591188800000002,0.26359783,0.0440557,0.01177312,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,MoDem,161.1257,0.420183930930944,0.1874476262942535,0.14885062,0.27133325,0.38094574999999997,0.14580908,0.04163853,0.01142255,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,Right,573.0042,0.5464410208511561,0.1534448089560251,0.22048617,0.32595485,0.29019072,0.11326371,0.04018112000000001,0.00992381,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,UDI/PR,89.32552,0.3694122351596722,0.18961501707462775,0.14918267,0.22022955999999996,0.43441639,0.14661185,0.043003190000000004,0.0065566700000000006,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,LR,397.5368,0.5619419384570182,0.145,0.21707604999999996,0.34486568,0.28261157,0.11530291000000001,0.02731324,0.01283077,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,Radical right,1008.8,0.5999229777954005,0.17080620539254562,0.3178412,0.28208168,0.21840464,0.10071114,0.07009512,0.010866539999999997,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,Debout la France,86.14185,0.6584785444008923,0.16591122665696173,0.31016248,0.34892644999999994,0.1749999,0.06927243,0.09663874,0,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,Reconquete,205.4045,0.7616342387824998,0.09814152075538753,0.5177019,0.24393229,0.1282061,0.07584629,0.0222952,0.01201844,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,RN,717.2537,0.5465802407153842,0.1922035396959263,0.2615281,0.28505214,0.24937494,0.11160762,0.08059603,0.01184173,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Political similarity,No preference,1860.95,0.465,0.2549999,0.19650238000000003,0.2671003899999999,0.25032596,0.10980832,0.14499990000000001,0.03126305,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Politics,Total-left,1649.278,0.3244622192256248,0.26019973588442946,0.11331176,0.21115033,0.4071581000000001,0.20092343000000001,0.05927632,0.00818053,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
