Indicator,Category,BASE,ST Elevé,ST Faible,Très élevé,Assez élevé,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.25955953853168134,0.405,0.10869625,0.15086307,0.30318622,0.29908838,0.10581942,0.03234588,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Gender,Man,2929.637,0.24233992129400328,0.43148519765418036,0.09847786999999998,0.14386209,0.295,0.34974378000000017,0.08150163,0.03141463,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Gender,Woman,3049.36,0.2761032478946402,0.3793750163968833,0.11851372,0.15758953,0.31127997,0.25019243,0.12918248,0.03324061,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Age,18-24,478.2759,0.29644521080823855,0.40462377468737193,0.12906143,0.16738385,0.26403045,0.2810276,0.12349667,0.035,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Age,25-34,836.9062,0.27632021366313214,0.4105755220835979,0.10677291,0.16954732,0.29039646,0.27047846,0.14009718,0.02270771,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Age,35-49,1494.556,0.2656758261316404,0.3649999,0.08697767,0.17869809,0.34061748,0.24466959,0.12274067,0.02629595,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Age,50-64,1554.412,0.24309488089386855,0.4300301335810583,0.11343415000000001,0.12966073,0.28789414,0.32984125,0.10018882,0.03898234,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Age,65+,1614.848,0.2501366692097337,0.41258000753012053,0.11920187,0.13093449,0.30148887,0.34000166,0.07257829,0.03579562,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Socio-Professional Category,Total-CSP+,1734.019,0.23898117610014652,0.41105870235562586,0.08513632,0.15384503,0.33407408,0.30380821,0.10725061000000001,0.01588597,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
Socio-Professional Category,Small Business owners,212.9949,0.24608903781264244,0.4525164217546993,0.052950470000000006,0.195,0.28966008,0.3005505400000001,0.15010425,0.01173466,"q14v13b_i4. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes en mer"
