Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Political similarity,EELV,116.4276,0.5114943535725206,0.4558444904816384,0.24265088000000004,0.26884347,0.38604652,0.06979795,0.03266128,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,EM,230.1238,0.805,0.1830057125773171,0.43505364999999996,0.36890743000000004,0.15819463,0.02481109,0.013033459999999998,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,MoDem,60.60146,0.5319721670071975,0.41745660913119914,0.21435028,0.31762189,0.37928113,0.03817537,0.05057141,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,Right,203.5067,0.6269567537579844,0.34238096337860136,0.20921847,0.4181946200000001,0.2749999,0.06692482,0.03066219,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,UDI/PR,45.07241,0.6949761505985591,0.2462604063106455,0.33315969,0.36181624,0.22864808,0.01761236,0.05876344,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,LR,130.1298,0.6549999,0.325,0.18302948000000002,0.47297061,0.265,0.05599161,0.0230083,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,Radical right,318.9996,0.42899082005118505,0.5473818775948308,0.14833376,0.280657,0.37051990000000007,0.17686231999999996,0.02362761,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,Debout la France,28.30442,0.3823409912656751,0.5965566508693696,0.13225662,0.25008426,0.40084058,0.19571629,0.02110216,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,Reconquete,63.15218,0.5094204190575844,0.49057958094241555,0.19625862,0.31316195,0.34745119,0.14312838,0,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,RN,227.5431,0.415,0.5549999,0.1370325,0.27543841,0.37315049,0.18387945,0.03049933,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Political similarity,No preference,647.701,0.37396499310638703,0.5405447884131721,0.10350353000000001,0.27046137,0.38010455,0.16044008,0.08549037000000001,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Politics,Total-left,579.8448,0.5284351950728885,0.4481433652591176,0.185,0.34343503,0.3416101999999999,0.10653314,0.02342163,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Politics,Very Left,74.55247,0.4096014525072073,0.5735929339430337,0.07828755,0.3330299300000001,0.3649999,0.20687725,0.01680537,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Politics,Left,505.2924,0.5459682354217084,0.4296340099316752,0.19992998,0.34603806,0.33790613,0.09172804,0.02439781,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Politics,Center,260.2607,0.635,0.3349999,0.2567081,0.37824182,0.293437,0.04248644,0.029126330000000002,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
