Indicator,Category,BASE,ST Elevé,ST Faible,Très élevé,Assez élevé,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Total,Total,5979.002,0.551664475108053,0.16293085367758697,0.23118239,0.32048241,0.26510628,0.07900407,0.08392683,0.02029782,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Gender,Man,2929.637,0.5169951089503579,0.15798107410576803,0.19949997,0.31749555,0.31127699,0.09228044,0.06570043,0.01374899,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Gender,Woman,3049.36,0.5849742240994832,0.16768669491303093,0.26162123,0.32335254,0.22074878000000003,0.06624898,0.10143768,0.026589560000000005,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Age,18-24,478.2759,0.5278263027679212,0.21150051675194173,0.20710496,0.32072137,0.24271303999999996,0.09121334000000002,0.12028713999999999,0.01796007,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Age,25-34,836.9062,0.5385251059198749,0.16650444219435823,0.23861348,0.29991151,0.2731661,0.06035647,0.10614796,0.02180444,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Age,35-49,1494.556,0.5766609615163298,0.1643983229802028,0.26791883,0.3090488100000001,0.23849217,0.0649999,0.09909244000000002,0.02044785,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Age,50-64,1554.412,0.586784777780923,0.14499990000000001,0.245,0.34178345,0.24723851,0.07277112,0.07365634,0.01955058,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Age,65+,1614.848,0.5085961650879836,0.1612216134273938,0.18821196,0.32038402,0.30939352,0.10372976,0.0574919,0.02078985,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Total-CSP+,1734.019,0.575,0.16282053426173532,0.22890574000000002,0.345,0.25480386000000005,0.08323513,0.07958546,0.00846981,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Small Business owners,212.9949,0.43515868220318893,0.21222756976810242,0.16066679999999997,0.275,0.34276213000000005,0.10275556,0.10947201,0.0093435,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Cadres/Prof Lib,597.9521,0.5674660227800856,0.1524818459538816,0.24310710000000002,0.325,0.26940269000000006,0.09132963999999999,0.06115219,0.01000838,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Prof Intermed,896.9079,0.6179013475073639,0.14741892673707077,0.23905242,0.38052226999999994,0.22800647,0.06683509,0.08058385,0.0049999,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Total-CSP-,1674.09,0.5549999,0.1770294309147059,0.2635120899999999,0.29499990000000004,0.23724567000000002,0.0676107,0.10941866999999998,0.02721297,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
Socio-Professional Category,Salaried,956.6466,0.5849998999999999,0.16167809512938217,0.25316674,0.3307650199999999,0.225,0.05261417,0.10906389,0.02939018,"q14v13b_i1. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Une ligne électrique à haute tension"
