Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Political similarity,Right,573.0042,0.405,0.40165517111392907,0.01760046,0.385,0.28898452,0.11178002,0.18278836,0.013846639999999999,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,UDI/PR,89.32552,0.4990040919996883,0.305672219988196,0,0.49932793000000014,0.23692736,0.06874481,0.1949999,0,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,LR,397.5368,0.405,0.3923656879061259,0.01664854,0.38891604,0.29259379,0.09977179,0.1849999,0.01706994,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Radical right,1008.8,0.2083413957176844,0.575308287073751,0.02731178,0.18102953999999996,0.35897482,0.21633327,0.19397997999999997,0.02237094,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Debout la France,86.14185,0.28657893927283895,0.5440563442740085,0.04024448,0.24633439,0.33223364,0.21182258999999998,0.15603484,0.01332982,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,Reconquete,205.4045,0.20038042009790435,0.4449999,0.02972988,0.17065055,0.27132896,0.1740884,0.33641677999999997,0.01778556,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,RN,717.2537,0.20122503376420364,0.6162590726266034,0.0249999,0.17615887000000002,0.38735180999999996,0.22897282000000002,0.15774669,0.02476991,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Political similarity,No preference,1860.95,0.2025679357317499,0.5447470378032725,0.0091369,0.19343104,0.33431839,0.21042924,0.20518504,0.047500299999999995,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Total-left,1649.278,0.22290226389971854,0.605,0.0311666,0.19173560000000003,0.3659069,0.23764387,0.15854713,0.0149999,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Very Left,217.9165,0.19291017430988475,0.715,0.07212345,0.12078668,0.34546572,0.36852001,0.0894918,0.0036128300000000005,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Left,1431.362,0.2249999,0.5864236300809997,0.02493115,0.20253702,0.3687046299999999,0.21771865,0.16906038000000004,0.01704776,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Center,776.1196,0.4613519617337328,0.375,0.05026737,0.41108458,0.2651764,0.10904496,0.15947491,0.00495127,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Total-right,1622.94,0.3379056527043514,0.4649999,0.03211924,0.30578654,0.31039626,0.15499347,0.17787232,0.01883133,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Right,1193.119,0.3749999,0.429824183505585,0.03436123,0.34476468999999993,0.30794321,0.12188097,0.17507323,0.01597584,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Very Right,429.8207,0.22348472281581597,0.565,0.0249999,0.1975889,0.3187445400000002,0.246909,0.1849999,0.02675776,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Both left and Right,200.4265,0.402240621873854,0.443111065652496,0.03247199,0.3701289,0.2777505,0.1649999,0.14738266,0.00726605,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Politics,Neither left nor right,1673.316,0.215,0.5414460866925315,0.01516908,0.195,0.32826244999999993,0.21282512999999997,0.19453821,0.05420513,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Loss of job risk,High risk,556.2398,0.2725475595237881,0.5967769656180663,0.07834254,0.19420509,0.27758585,0.31919111,0.11795521,0.012719960000000002,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Loss of job risk,Low risk,1874.312,0.28966847568601173,0.5314621044948761,0.02588317,0.26378532,0.3391589,0.19230342,0.15561043,0.023258980000000002,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
Loss of job risk,Zero risk,3478.817,0.29119812855922,0.48806735163131604,0.023706730000000002,0.26749128,0.32228341,0.1657838,0.18984865,0.0308876,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Arthaud,24.07418,0.33365107347373824,0.5508299763481042,0.19153284,0.14211824,0.2307318,0.32009809,0.08969481,0.02582415,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Poutou,32.85668,0.1790759139389616,0.6466709357123118,0.0619611,0.11711481999999998,0.31841714,0.3282538,0.12094022000000001,0.05331302,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Roussel,98.04205,0.2911221256593472,0.4776773843468185,0.03926211,0.25186009,0.38069604,0.09698141999999998,0.20798158,0.02321861,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Melenchon,942.3053,0.21233468600887634,0.6354857602944608,0.03268476,0.17964984,0.35820979999999986,0.27753797,0.13691773,0.0149999,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Hidalgo,75.31895,0.2585227223693373,0.4909153672482158,0.015,0.24378991,0.36102973,0.12961827,0.2325999,0.01796219,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Jadot,198.8808,0.2137853930595613,0.610510919103302,0.01794943,0.1949999,0.38859864999999993,0.22274815,0.1579614,0.01774247,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Macron,1195.294,0.5197059468214514,0.28779480194830726,0.0538938,0.46586142999999985,0.23226311,0.05553153,0.17745023000000001,0.0149999,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Pecresse,205.1207,0.3479281223201754,0.3893214580488463,0.00627191,0.34165621,0.26670009,0.12262136,0.25096419,0.011785740000000001,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Dupont-Aignan,88.56025,0.2283089760925472,0.49938770498050766,0,0.22830898,0.27267369,0.22671401999999996,0.26420589,0.00809738,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Zemmour,303.4525,0.2388550102569595,0.4949999,0.0330457,0.20580925,0.31416321,0.18329238,0.24527159999999998,0.0184182,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Le Pen,993.0248,0.235,0.6049998999999999,0.02529674,0.205,0.37369747,0.23237436,0.14991136,0.013720070000000001,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Lassalle,134.5409,0.2949999,0.5093483096961594,0.0128967,0.28454083,0.32254826000000003,0.18656617,0.17844804,0.015,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Blank/Null/NA,96.61228,0.2189629517075883,0.49999037389449874,0.01952491,0.199438,0.28095486,0.21903550999999996,0.23802637,0.04301992,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Blank,63.86856,0.235,0.5249999,0.02513216,0.20628333999999998,0.26319945,0.26477973,0.21827751,0.02232753,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
1st round vote,Null,19.09123,0.1576831351358713,0.4891617250433838,0,0.15768314,0.31614092,0.17302080999999997,0.27845796,0.07469749,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
2nd round vote,Macron,2287.563,0.42530002452391474,0.3867925386098656,0.045,0.38029785,0.27998486,0.1068079,0.17333411,0.01457528,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
2nd round vote,Le Pen,1619.66,0.225,0.5849998999999999,0.027380299999999996,0.19749972,0.35280534,0.23316634,0.1752361,0.01391163,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
2nd round vote,Blank/Null/NA,370.4173,0.1699967307142512,0.629784300031343,0.01576479,0.15423197,0.38689608000000003,0.24288833,0.17581073999999997,0.0244084,"q8v13b_i2. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière de qualité de l'environnement"
