Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Political similarity,EELV,116.4276,0.8540912979396639,0.129323545276206,0.71346914,0.14062207,0.11131012,0.01801339,0.01658523,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,EM,230.1238,0.913200633745836,0.08103633783207126,0.75876593,0.15443466,0.068978,0.01205834,0.00576318,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,MoDem,60.60146,0.8588654464760419,0.047339866069233315,0.645,0.21308064000000002,0.03312471,0.015,0.09379465,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,Right,203.5067,0.735,0.23349319702987664,0.44667242,0.2857759,0.13270202,0.10079118,0.03405823,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,UDI/PR,45.07241,0.8683201097966583,0.12451135850068813,0.6465720399999999,0.22174785,0.07068357,0.05382779,0.00716851,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,LR,130.1298,0.7367991036641877,0.2224837047317371,0.42747365,0.30932561,0.12313736,0.09934642,0.04071738,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,Radical right,318.9996,0.44794758363333376,0.5340567825163417,0.20585396,0.24209356,0.29905640000000006,0.2349999,0.01799618,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,Debout la France,28.30442,0.49608329723767525,0.4549999,0.21661748,0.27990113,0.2749999,0.18221907,0.04626242,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,Reconquete,63.15218,0.28499990000000003,0.6872788872846511,0.08223575000000001,0.20478438,0.35062258,0.33665615,0.025701250000000002,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,RN,227.5431,0.4866234133225749,0.5010351884983548,0.2388239,0.24779934,0.28760248,0.21343284,0.01234164,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Political similarity,No preference,647.701,0.6949998999999999,0.205,0.39499989999999996,0.3010730900000001,0.14701697,0.05646182,0.10044822,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Politics,Total-left,579.8448,0.8323494493699004,0.13150599953642766,0.59132651,0.24102293999999996,0.11013756,0.02136846,0.03614464,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
