Indicator,Category,BASE,Nathalie Arthaud,Philippe Poutou,Fabien Roussel,Jean-Luc Mélenchon,Anne Hidalgo,Yannick Jadot,Emmanuel Macron,Valérie Pécresse,Nicolas Dupont-Aignan,Eric Zemmour,Marine Le Pen,Jean Lassalle,ST Blanc ou nul + NSP,J'ai voté blanc,J'ai voté nul,No rep.,Question
Political similarity,Radical left,661.9138,0.01828329,0.02771589,0.05100231999999999,0.71914597,0.00240572,0.015,0.06356468,0.00197329,0.00170616,0.02174029,0.06261092,0.00591786,0.007968460545768951,0.005,0.00313444,0.0007991700000000001,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,Left,1141.578,0.0027273699999999994,0.00592644,0.05005096,0.53902865,0.05241076,0.1238293,0.13665829,0.005,0.00338802,0.011147989999999998,0.0416856,0.01751921,0.01062740347133529,0.00751239,0.00181742,0.0012976,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,PC/LFI,527.1891,0.00255619,0.007659520000000001,0.06144071,0.7960107699999999,0.00224797,0.01448387,0.03266991,0,0.00214217,0.01689194,0.04646223,0.00743018,0.010004823696089316,0.00506596,0.00393546,0.0010034,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,PS,356.8514,0.00120895,0.0025921999999999994,0.05902272,0.34314704,0.15674283,0.06006517,0.2835494,0.00824827,0.00565762,0.00913574,0.0414329,0.01809952,0.01109805089737633,0.00979511,0,0.00130294,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,EELV,257.5369,0.0049999,0.0069988,0.01430421,0.28523404,0.01053039,0.4362000300000001,0.14599034,0.00989525,0.00279352,0.00217815,0.0322578,0.03736782,0.011249743240677356,0.00935733,0,0.00189242,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,EM,584.301,0,0,0.0014485299999999997,0.0449999,0.00239115,0.00572449,0.8874381,0.010228819999999998,0,0.01631429,0.01991782,0.00956312,0.0019737755026946724,0.00032442,0.000436,0.00121336,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,MoDem,149.9801,0.00273634,0.0032741200000000006,0.015,0.04092209000000001,0.01351039,0.06193246,0.6153635600000001,0.07270778,0.00990153,0.05588754,0.02950343,0.06254572,0.016632906632279884,0.015,0.00171504,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,Right,461.4031,0.00102105,0.00213809,0.0034485299999999996,0.027346110000000003,0.00102325,0.00650667,0.25358304,0.31217129,0.07881984,0.07619416,0.18958403,0.03558073,0.01258325095778507,0.00746898,0.00388884,0.00122543,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,UDI/PR,79.47246,0,0.01241336,0.00426734,0.006883500000000001,0,0.03777657,0.4301944999999999,0.2460855,0.08670974,0.02881106,0.05966814,0.06947081,0.0149999,0.0149999,0.0027195799999999997,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,LR,306.554,0.0015368099999999998,0,0.005,0.02940214,0.00154012,0,0.24523268,0.39920429,0.00405907,0.07320446,0.19286622,0.035,0.012954207089126223,0.00711978,0.00399,0.00184443,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
